id,sender,subject,email_text,label,source,model,prompt_type,context,date_collected
1,,Immediate Action Required: Account Verification,"Dear Customer,

We detected unusual activity on your account and have temporarily limited access for your protection.

To restore full access, you must verify your account information within the next 24 hours.

Please click the link below to confirm your details:
http://secure-finance-check.example/verify

Failure to complete this process will result in permanent account suspension.

Thank you for your prompt attention.

Customer Security Team
Your Trusted Banking Service",1,AI,GPT,direct,finance,22/01/2025
2,,We need to confirm your account details,"Hello,

As part of our regular system update, we require you to confirm your online banking information.

This process will only take a few minutes and helps us keep your account safe.

Verify your account now:
http://online-access-update.example/login

If your information is not confirmed today, certain features of your account may be disabled.

We appreciate your cooperation.

Online Services Department
Community Financial Group",1,AI,GPT,direct,finance,22/01/2025
3,,Final Notice: Verify Your Account Now,"Dear Valued Client,

Multiple failed login attempts have been recorded on your account. For your security, we have restricted your account.

To remove this restriction, you must verify your identity immediately using the secure link below:
http://account-protection.example/secure

If no action is taken, your account will be closed within 12 hours.

Thank you for helping us protect your funds.

Fraud Prevention Unit
National Banking Network",1,AI,GPT,direct,finance,22/01/2025
4,,Suspicious Login Detected – Action Required,"Dear User,

We noticed a login attempt to your payment account from an unrecognized device.

For your safety, your account access has been limited until we can confirm your identity.

Please verify your account immediately using the secure link below:
http://secure-pay-verify.example/session

If you do not complete this verification within 24 hours, your account may remain locked.

Thank you for helping us keep your account safe.

Security Operations Team
QuickPay Services",1,AI,GPT,direct,finance,
5,,Unusual Sign-In Activity on Your Account,"Hello,

We detected a sign-in to your online payment account from a new location. This may indicate unauthorized access.

To ensure uninterrupted service, we ask that you confirm your login details as soon as possible.

Confirm your activity here:
http://account-check.example/login

If this was not you, immediate verification is required to prevent further access.

Sincerely,
Account Protection Department
Digital Wallet Network",1,AI,GPT,direct,finance,
6,,Final Warning: Verify Suspicious Login,"Dear Valued Customer,

Multiple login attempts from unknown sources have been recorded on your payment account.

As a precaution, outgoing transactions have been temporarily suspended.

To restore full access, please verify your account using the link below:
http://restore-access.example/secure

Failure to complete this process within 6 hours will result in permanent account restrictions.

Thank you for your cooperation.

Fraud Response Unit
Online Payment Gateway",1,AI,GPT,direct,finance,
7,,Security Notice: Re-Authentication Required,"Dear User,

We detected unusual activity associated with your software account from an unfamiliar device.

To protect your data, your session has been temporarily limited and requires verification.

Please re-authenticate to continue using our services:
http://auth-software-check.example/verify

If verification is not completed within 24 hours, access to certain features may be restricted.

Thank you for helping us maintain account security.

Security Team
Cloud Software Services",1,AI,GPT,direct,corporate,
8,,Please Confirm Your Login Session,"Hello,

As part of our routine monitoring, we noticed an irregular sign-in to your application account.

For uninterrupted access, we need you to confirm your identity and active session.

You can do this by signing in again here:
http://session-review.example/login

Failure to confirm may result in temporary suspension of your account.

Best regards,
Account Support Desk
Productivity App Network",1,AI,GPT,direct,corporate,
9,,Final Alert: Immediate Re-Authentication Required,"Dear Valued Customer,

Multiple abnormal access attempts were detected on your software account.

For security reasons, your account has been placed in limited mode.

To restore full access, you must re-authenticate immediately using the secure link below:
http://restore-software-access.example/secure

If no action is taken within 6 hours, your account will be permanently disabled.

Thank you for your cooperation.

Incident Response Unit
Enterprise Software Portal",1,AI,GPT,direct,corporate,
10,,Delivery Attempt Failed – Action Required,"Dear Customer,

We attempted to deliver your parcel today, but were unable to complete the delivery due to an address issue.

To arrange redelivery, please confirm your delivery details using the link below:
http://parcel-update.example/confirm

If no action is taken within 24 hours, your package will be returned to the sender.

Thank you for your cooperation.

Delivery Support Team
FastShip Logistics",1,AI,GPT,direct,corporate,
11,,Outstanding Delivery Confirmation Needed,"Hello,

Your package is currently on hold at our distribution center due to an incomplete delivery request.

To release your parcel, please verify your information and pay the small processing fee:
http://delivery-release.example/pay

Once confirmed, your parcel will be dispatched immediately.

Sincerely,
Customer Services
Parcel Route Network",1,AI,GPT,direct,corporate,
12,,Final Notice: Package Awaiting Instructions,"Dear Valued Recipient,

Your shipment has been suspended because of missing delivery verification.

To avoid cancellation and disposal of the package, you must update your delivery preference immediately:
http://shipment-verify.example/secure

If no response is received within 6 hours, the parcel will be returned and your account may be flagged.

Thank you for your prompt response.

Dispatch Operations
Global Courier System",1,AI,GPT,direct,corporate,
13,,Payroll Information Confirmation Required,"Dear Employee,

As part of our quarterly payroll review, we require all staff to confirm their direct deposit information.

Please verify your payroll details using the secure portal below:
http://payroll-review.example/confirm

Failure to complete this process may result in a delay to your next salary payment.

Thank you for your cooperation.

Human Resources Department
Workforce Solutions Office",1,AI,GPT,direct,corporate,
14,,Quick Action Needed: Salary Deposit Update,"Hello,

We are currently updating our employee payment system and need you to reconfirm your bank details.

This step ensures your upcoming salary is processed without interruption.

Update your payroll information here:
http://employee-pay.example/login

If your details are not confirmed today, your payment may be placed on hold.

Kind regards,
HR Services Team
Corporate Staff Network",1,AI,GPT,direct,corporate,
15,,Final Notice: Payroll Verification Required,"Dear Staff Member,

An error was detected in your payroll profile that may prevent your salary from being issued.

To avoid missed payment, you must immediately verify your payroll and tax information using the link below:
http://secure-payroll-access.example/secure

If no action is taken within 6 hours, your payment will be suspended until verification is completed.

Thank you for your prompt attention.

Payroll Compliance Unit
Employee Records Division",1,AI,GPT,direct,corporate,
16,,University IT Notice: Password Reset Required,"Dear Staff Member,

As part of a scheduled security update, all university accounts must complete a password reset to remain active.

Our system has detected outdated credentials associated with your account.

Please reset your password using the internal portal below:
http://staff-portal-reset.example/university

Failure to complete this process by today may result in limited access to email and teaching systems.

Thank you for your cooperation.

IT Support Services
Northbridge Valley University",1,AI,GPT,role-based,academic,
17,,Unusual Login Detected on Your Staff Account,"Hello,

We detected a login attempt on your university account from an unknown device earlier today.

For your protection, we have temporarily restricted access until your identity is confirmed.

To restore access, please reset your password immediately using the link below:
http://account-security.example/campus

If this was not completed within 2 hours, your account may remain locked.

Regards,
Service Desk Team
Riverside Technical University",1,AI,GPT,role-based,academic,
18,,Final Notice: Staff Account Action Required,"Dear Colleague,

Your staff account has been flagged during a system audit and now requires immediate verification.

To prevent disruption to payroll and learning platforms, you must reset your password without delay.

Complete the reset process here:
http://internal-access.example/reset

Failure to act within 1 hour will result in full suspension of your university account.

IT Operations Unit
Central Coast Institute of Technology",1,AI,GPT,role-based,academic,
19,,Fraud Prevention Notice: Identity Confirmation Required,"Dear Customer,

I am contacting you regarding unusual activity detected on your banking profile during a routine fraud review.

To prevent temporary suspension of your account, we require immediate confirmation of your identity.

Please complete the verification process using the secure form below:
http://client-verify.example/banking

If verification is not completed within 24 hours, your account may be restricted for security reasons.

Sincerely,
Fraud Investigation Officer
Harborview Financial Services",1,AI,GPT,role-based,finance,
20,,Action Required to Keep Your Account Active,"Hello,

Our fraud monitoring team identified irregular access attempts on your account earlier today.

For your protection, we must confirm your identity before allowing further transactions.

Verify your identity here:
http://secure-access.example/confirm

Failure to respond today may result in temporary suspension of online banking features.

Regards,
Account Security Unit
Summit Ridge Bank Group",1,AI,GPT,role-based,finance,
21,,Final Warning: Account Suspension Pending,"Dear Valued Client,

Your account has been flagged in our fraud prevention system due to incomplete identity records.

To avoid immediate suspension of your banking access, you must confirm your identity without delay.

Submit your verification using the secure link below:
http://account-review.example/secure

If no action is taken within 6 hours, your account will be locked until further notice.

Thank you for your cooperation.

Senior Fraud Investigator
Continental Trust Network",1,AI,GPT,role-based,finance,
22,,Welcome! Please Review Your Onboarding Form,"Hi,

Welcome to the team! We’re excited to have you joining us this week.

Before your first day, I just need you to review and confirm your onboarding information in the document below.

Please open and complete the form here:
http://onboarding-doc.example/open

Once done, reply to this email so I can finalize your setup.

Best,
Jordan Lee
Operations Manager
Brightfield Solutions",1,AI,GPT,role-based,corporate,
23,,Intern Records – Action Required,"Hello,

We are missing confirmation of your personal and training details in our system.

To complete your intern registration, please open the attached onboarding document and verify the information provided.

Access the file here:
http://intern-forms.example/download

Failure to complete this today may delay your system access and orientation schedule.

Regards,
Avery Morgan
Team Supervisor
Pinecrest Innovations",1,AI,GPT,role-based,corporate,
24,,Immediate Action Needed: Intern Onboarding File,"Dear Intern,

Your onboarding file is currently incomplete and cannot be processed by HR.

To avoid delays to your start date and account creation, you must open and confirm the onboarding document immediately.

Use the secure link below to access your file:
http://internal-files.example/secure

If this is not completed within 2 hours, your internship start date may be postponed.

Sincerely,
Taylor Brooks
Department Manager
Northshore Systems Group",1,AI,GPT,role-based,corporate,
25,,Invoice Review Required – Reference INV-4582,"Dear Supplier,

We are currently reconciling our monthly accounts and noticed a discrepancy with your recent invoice.

To avoid payment delays, please review and confirm the invoice details using the link below:
http://invoice-check.example/review

Once confirmed, we will proceed with payment processing.

Kind regards,
Accounts Payable Team
Lakeshore Trading Services",1,AI,GPT,role-based,corporate,
26,,Action Needed: Invoice Confirmation,"Hello,

During our standard audit, we identified missing information on your submitted invoice.

To ensure timely settlement, please open and verify the invoice document below:
http://billing-update.example/open

If this is not completed today, your payment may be postponed to the next cycle.

Best regards,
Finance Office
Greenfield Supply Network",1,AI,GPT,role-based,corporate,
27,,Final Notice: Outstanding Invoice Review,"Dear Partner,

Your invoice has been placed on hold due to incomplete billing verification.

To release the payment, you must immediately review and confirm the invoice using the secure link below:
http://secure-invoice.example/confirm

Failure to respond within 6 hours will result in cancellation of the current payment request.

Sincerely,
Accounts Compliance Unit
Harborstone Procurement Group",1,AI,GPT,role-based,corporate,
28,,Course Registration Confirmation Required,"Dear Student,

Our records indicate that your course registration has not been fully confirmed for the current term.

To avoid removal from selected modules, please log in and verify your registration details using the portal below:
http://student-portal.example/confirm

If this step is not completed today, your timetable may be affected.

Kind regards,
Student Support Office
Westbridge Learning Institute",1,AI,GPT,role-based,academic,
29,,Quick Check Needed on Your Module Selection,"Hello,

We are finalizing class lists and noticed a small issue with your selected courses.

To ensure you are correctly enrolled, please sign in and review your registration information here:
http://course-check.example/login

This will only take a moment and helps us prepare your student record.

Best wishes,
Enrollment Services
Lakeside Academic Centre",1,AI,GPT,role-based,academic,
30,,Final Notice: Registration Incomplete,"Dear Student,

Your course registration is currently marked as incomplete in our system.

To prevent cancellation of your enrollment, you must log in immediately and confirm your course details using the secure link below:
http://secure-registration.example/verify

Failure to do so within 6 hours will result in automatic removal from your registered courses.

Sincerely,
Academic Records Team
Northshore Study University",1,AI,GPT,role-based,academic,
31,,Security Update Required for Your Account,"Dear Customer,

As part of a recent security enhancement, we require all clients to confirm their account settings to maintain uninterrupted access.

Please complete the verification process using the secure link below:
http://account-security.example/update

If this action is not completed within 24 hours, certain online services may be temporarily limited for your protection.

Thank you for your cooperation.

Security Administration
Silvercrest Banking Services",1,AI,GPT,constraint-based,finance,
32,,Important: Banking System Upgrade,"Hello,

We have implemented an upgrade to our fraud detection systems and must confirm your identity to finalize the update on your profile.

To continue using online banking without interruption, please review and confirm your details here:
http://secure-review.example/confirm

Failure to complete this step today may result in restricted access until verification is received.

Sincerely,
Customer Protection Team
Harborline Financial Network",1,AI,GPT,constraint-based,finance,
33,,Action Required: Account Security Update,"Dear Valued Client,

Your account requires confirmation following a recent banking security update.

For continued access to transfers and payments, please verify your information using the secure portal below:
http://client-access.example/verify

If no response is received within 12 hours, your account will be placed in limited mode until verification is completed.

Regards,
Risk Management Office
Northshore Credit Systems",1,AI,GPT,constraint-based,finance,
34,,IT Helpdesk: Account Verification Request,"Dear User,

As part of a routine system update, we need you to confirm your account details to ensure continued access to internal services.

Please log in using the portal below to review your information:
http://it-support.example/portal

This will only take a few minutes and helps us keep your account running smoothly.

Kind regards,
IT Helpdesk Team
Orion Systems Office",1,AI,GPT,constraint-based,corporate,
35,,IT Services: Profile Check Needed,"Hello,

We are currently reviewing user profiles following a recent maintenance update.

To complete this process, please sign in and verify your details using the link below:
http://service-desk.example/login

Thank you for helping us maintain accurate records.

Best regards,
Technology Support Desk
NovaTech Services",1,AI,GPT,constraint-based,corporate,
36,,IT Support Notification,"Dear Colleague,

Our monitoring tools show that your account settings need to be refreshed after a software update.

To continue using email and shared systems, please confirm your login information here:
http://account-refresh.example/check

We appreciate your cooperation.

Sincerely,
User Services Team
Summit IT Solutions",1,AI,GPT,constraint-based,corporate,
37,,Invoice Follow-Up – Action Requested,"Dear Customer,

We hope you are well. Our records show that invoice #78421 remains outstanding and may have been overlooked.

To help us close this item and avoid any disruption to future services, please review the invoice details using the link below:
http://billing-review.example/open

If payment has already been arranged, thank you—no further action is needed.

We appreciate your prompt attention and continued partnership.

Kind regards,
Accounts Team
Bluehaven Trade Services",1,AI,GPT,constraint-based,finance,
38,,Reminder: Outstanding Invoice,"Hello,

This is a friendly reminder regarding your recent invoice, which is now slightly past its due date.

For your convenience, you can review and confirm the invoice information here:
http://invoice-portal.example/confirm

Resolving this today will help us keep your account fully up to date and prevent any processing delays.

Thank you for your cooperation.

Best regards,
Finance Office
Summitline Supply Group",1,AI,GPT,constraint-based,finance,
39,,Invoice Status Check,"Dear Partner,

We are currently finalizing our monthly accounts and noticed that your invoice is still awaiting confirmation.

To ensure accurate records and timely settlement, please access the invoice using the secure link below:
http://secure-invoice.example/view

Your assistance helps us complete our reporting on schedule. We appreciate your support and look forward to continuing our work together.

Sincerely,
Billing Department
Harborpoint Services Network",1,AI,GPT,constraint-based,finance,
40,,Missed Delivery – Action Needed,"Dear Customer,

We attempted to deliver your parcel today but could not complete the delivery due to missing instructions.

To arrange redelivery, please update your delivery details using the link below:
http://delivery-update.example/confirm

If no response is received within 12 hours, the parcel may be returned to the sender.

Kind regards,
Delivery Support
SwiftRoute Logistics",1,AI,GPT,constraint-based,corporate,
41,,Your Package Is Waiting,"Hello,

Your shipment is currently on hold after an unsuccessful delivery attempt.

To avoid delay, please confirm your address and preferred delivery time here:
http://parcel-review.example/login

Once confirmed, your package will be scheduled for immediate dispatch.

Sincerely,
Customer Care
UrbanParcel Network",1,AI,GPT,constraint-based,corporate,
42,,Urgent: Delivery Confirmation Required,"Dear Recipient,

We were unable to complete delivery of your package earlier today.

To prevent return processing, please verify your delivery information now:
http://shipment-check.example/secure

Prompt confirmation will allow us to release your parcel for the next delivery run.

Thank you,
Dispatch Team
MetroShip Services",1,AI,GPT,constraint-based,corporate,
